"原文","译文","类别","描述"
"安価","安价","术语","指从用户的回复中抽选的选项，匿名版专有名词（或形容词）"
"魔王把握","魔王把握","术语","VIPRPG专用术语,讨伐魔王的一系列行为的概称"
"もしもの力","如果之力","物品","VIPRPG世界观中三大超自然力量之一。"
"ポテチ王国","薯片王国","地点","VIPRPG专用术语,多数人类(包括勇者们)居住的国度。"
"ゼウスパーク","泽斯帕克","地点","VIPRPG专用术语,魔法具现化的国度"
"ワイバーン","翼龙","术语","龙种族的一种"
"ｋｓｇ","ksg","术语","RPG Maker用语，指粪作(很烂的作品)"
"ツクスレ","RM讨论串","术语","游戏制作讨论串，若无特别注明，一般指VIPRPG在2ch上的RPG Maker讨论串"
"ｋｔｋｒ","ktkr","术语","日本网络用语，指“来了”的意思，表示期待或兴奋。"
"ktkr","ktkr","术语","2ch用语，指“来了”的意思，表示期待或兴奋。"
"おｋ","哦k","术语","2ch用语，表示“好的”的意思。"
"ｗｗｗ","www","术语","表示笑声的网络用语，类似于英文的“lol”"
"めでてぇ","可喜可贺","术语","VIPRPG专用术语,表示祝贺的用语，经常用在VIPRPG游戏的结尾"
"でござる","是也","术语","古装或武士角色的台词中常用于句尾的词缀"
"なんとの力","竟然之力","物品","VIPRPG世界观中三大超自然力量之一。"
"まさかの力","难道之力","物品","VIPRPG世界观中三大超自然力量之一。"
"スティミュラント","复活药","物品","战斗中使已方一名成员解除战斗不能状态的道具。"
"ヘレンハウス","海伦之家","地点","VIPRPG专用术语,海伦及其同伙的据点"
"バリアハウス","屏障之家","地点","VIPRPG专用术语,屏障们的家"
"見るゲ","观赏游戏","术语","RPG Maker用语，一种几乎无需玩家交互的游戏、类似视觉小说的游戏"
"読むゲ","阅读游戏","术语","RPG Maker用语，一种类似视觉小说的游戏、特征是包含大量文本"
"モングラ","敌怪图","术语","RPG Maker用语，指用于在游戏战斗场景中展示的敌人素材图像"
"歩行グラ","步行图","术语","RPG Maker用语，指在游戏地图中标识角色/展示的角色动作的素材图像"
"ホコグラ","步行图","术语","RPG Maker用语，指在游戏地图中标识角色/展示的角色动作的素材图像"
"顔グラ","脸图","术语","RPG Maker用语，指在游戏对话框中展示角色面部细节的素材图像"
"顔倉","脸图","术语","RPG Maker用语，指在游戏对话框中展示角色面部细节的素材图像"
"ｋｗｓｋ","kswk","术语","日本网络用语，指“请仔细说明”的意思，表示对某事的好奇。"
