"原文","译文"
"打撃Ａ","打击A"
"打撃Ｂ","打击B"
"打撃Ｃ","打击C"
"打撃Ｄ","打击D"
"剣Ａ","剑A"
"剣Ｂ","剑B"
"剣Ｃ","剑C"
"剣Ｄ","剑D"
"槍Ａ","枪A"
"槍Ｂ","枪B"
"槍Ｃ","枪C"
"槍Ｄ","枪D"
"斧Ａ","斧A"
"斧Ｂ","斧B"
"弓Ａ","弓A"
"弓Ｂ","弓B"
"爪Ａ","爪A"
"爪Ｂ","爪B"
"鞭Ａ","鞭A"
"鞭Ｂ","鞭B"
"--------------------","--------------------"
"火炎のブレス","火焰吐息"
"吹雪のブレス","暴雪吐息"
"毒のブレス","毒气吐息"
"眠りのブレス","睡眠吐息"
"花粉Ａ","花粉A"
"花粉Ｂ","花粉B"
"超音波Ａ","超声波A"
"超音波Ｂ","超声波B"
"霧Ａ","雾A"
"霧Ｂ","雾B"
"沈黙の歌","沉默之歌"
"子守り歌","摇篮曲"
"誘惑の歌","魅惑之歌"
"砂けむり","沙尘"
"まぶしい光","炫目之光"
"巻き付き","缠绕"
"吸血","吸血"
"不気味なダンス","诡异之舞"
"麻痺にらみ","麻痹凝视"
"体当たり","冲撞"
"足払い","扫腿"
"おたけび","咆哮"
"回復魔法Ａ","恢复魔法A"
"回復魔法Ｂ","恢复魔法B"
"回復魔法Ｃ","恢复魔法C"
"状態治療魔法Ａ","状态治疗魔法A"
"状態治療魔法Ｂ","状态治疗魔法B"
"状態治療魔法Ｃ","状态治疗魔法C"
"蘇生魔法Ａ","复活魔法A"
"蘇生魔法Ｂ","复活魔法B"
"蘇生魔法Ｃ","复活魔法C"
"気絶魔法","眩晕魔法"
"毒魔法","毒魔法"
"暗闇魔法","黑暗魔法"
"沈黙魔法","沉默魔法"
"暴走魔法","狂暴魔法"
"混乱魔法","混乱魔法"
"睡眠魔法","睡眠魔法"
"麻痺魔法","麻痹魔法"
"攻撃力アップ","攻击力提升"
"攻撃力ダウン","攻击力降低"
"防御力アップ","防御力提升"
"防御力ダウン","防御力降低"
"精神力アップ","精神力提升"
"精神力ダウン","精神力下降"
"敏捷性アップ","敏捷性提升"
"敏捷性ダウン","敏捷性下降"
